id_cantitate,cantitate
1||2028154||1||2,1
1||2028154||1||3,1
1||2028481||1||1,10
1||2028481||1||3,10
1||2028525||1||4,2
1||2028525||1||5,4
1||2028525||1||6,4
1||2028525||1||7,4
1||2028525||1||8,2
1||2028525||1||9,2
1||2028525||1||10,2
1||2028686||4||2,-3
1||2028686||5||2,-1
1||2028769||1||1,2
1||2028787||2||3,-1
1||2028790||1||1,4
1||2028790||1||3,4
1||2028825||1||2,2
1||2028914||2||2,-1
1||2028983||1||1,1
1||2029070||2||1,1
1||2029070||2||2,2
1||2029070||3||4,2
1||2029070||3||5,2
1||2029229||2||1,-1
1||2029255||2||1,-1
1||2029351||1||1,1
1||2029465||2||1,2
1||2029480||1||4,1
1||2029480||1||5,1
1||2029480||1||6,1
1||2029480||1||7,17.4
1||2029543||1||1,1
1||2029563||1||1,1
1||2029563||1||2,1
1||2029563||1||3,1
1||2029563||1||4,1
1||2029563||1||9,1
1||2029563||1||10,4.3
1||2029563||1||11,1
1||2029563||1||12,1
1||2029563||1||13,8
1||2029563||1||14,1
1||2029563||1||15,1
1||2029563||1||16,1
1||2029563||1||17,1
1||2029563||1||18,1
1||2029563||1||19,2
1||2029609||3||1,-2
1||2029628||2||5,-1
1||2029905||2||2,-1
1||2030141||1||1,1
1||2030141||1||2,2
1||2030141||1||4,20
1||2030141||1||5,1
1||2030141||1||6,1
1||2030141||1||7,2
1||2030141||1||8,1
1||2030141||1||9,1
1||2030141||1||10,1
1||2030141||1||11,4
1||2030141||1||12,2
1||2030141||1||14,2
1||2030141||1||15,4
1||2030141||1||16,2
1||2030141||1||17,1
1||2030141||2||9,-1
1||2030155||1||2,3
1||2030161||2||2,-1
1||2030166||2||1,-1
1||2030169||2||14,1
1||2030169||3||12,-1
1||2030210||3||2,-1
1||2030210||4||2,-1
1||2030220||3||1,-2
1||2030220||3||2,-36
1||2030294||1||1,4
1||2030318||2||2,-1
1||2030354||2||1,1
1||2030594||1||1,1
1||2030653||1||3,1
1||2030653||1||6,1
1||2030696||1||1,2
1||2030696||1||2,34.48
1||2030737||2||1,-1
1||2031032||2||1,8
1||2031066||3||1,-1
1||2031210||1||3,2
1||2031210||1||4,1
1||2031210||1||5,2
1||2031210||1||6,1
1||2031380||1||1,1
1||2031640||2||5,-1
1||2031640||3||2,-1
1||2031640||3||4,-1
1||2031652||2||1,1
1||2031703||3||3,-2
1||2031780||1||1,1
1||2031854||2||6,-1
1||2031854||2||7,-17.2
1||2031941||1||1,1
1||2031941||1||2,1
1||2031941||1||3,2
1||2031941||1||4,1
1||2031941||1||5,1
1||2031941||1||6,2
1||2032069||1||1,1
1||2032122||3||4,-1
1||2032130||1||1,2
1||2032296||1||1,2
1||2032499||2||1,-1
1||2032508||2||1,-1
1||2032508||2||2,-1
1||2032508||2||3,-1
1||2032670||1||1,1
1||2032670||1||2,1
1||2032670||1||3,1
1||2032670||1||4,1
1||2032670||1||5,2
1||2032670||1||7,2
1||2032670||1||9,1
1||2032670||1||10,1
1||2032670||1||11,1
1||2032670||1||12,1
1||2032670||1||13,4
1||2032670||1||14,1
1||2032670||1||15,1
1||2032670||1||16,1
1||2032670||1||17,1
1||2032670||1||18,4.285
1||2032670||1||19,1
1||2032670||1||20,1
1||2032670||1||21,1
1||2032670||1||22,1
1||2032670||1||23,1
1||2032670||1||24,1
1||2032810||2||1,-1
1||2032810||2||3,1
1||2032810||3||3,-1
1||2032828||1||1,1
1||2032891||2||1,-1
1||2033034||2||1,1
1||2033035||1||1,1
1||2033039||2||1,3
1||2033073||1||1,1
1||2033073||1||2,5
1||2033370||1||1,2
1||2033370||3||1,-2
1||2033518||2||1,-1
1||2033548||2||2,-2
1||2033679||1||1,1
1||2033954||1||3,4
1||2034020||2||1,-1
1||2034076||1||1,1
1||2034076||1||2,1
1||2034076||1||3,1
1||2034076||1||4,1
1||2034076||1||6,1
1||2034076||1||7,1
1||2034215||4||10,-1
1||2034253||1||1,1
1||2034448||2||1,10
1||2034449||1||1,1
1||2034449||1||2,1
1||2034449||1||3,1
1||2034449||1||4,4
1||2034449||1||5,1
1||2034449||1||6,10
1||2034511||2||2,-2
1||2034511||2||3,-2
1||2034719||1||1,1
1||2034720||1||1,1
1||2034747||1||1,2
1||2034820||1||1,1
1||2034820||1||2,1
1||2034820||1||3,1
1||2034820||2||4,1
1||2034892||1||3,1
1||2034998||2||1,-4
1||2035048||2||1,-1
1||2035048||2||2,-1
1||2035048||2||3,-2
1||2035048||2||4,-2
1||2035048||2||5,-2
1||2035048||2||6,-2
1||2035097||3||1,-1
1||2035097||4||1,1
1||2035240||1||2,1
1||2035363||1||1,5
1||2035363||1||2,1
1||2035363||1||3,1
1||2035363||1||4,1
1||2035363||1||5,14
1||2035363||1||6,5
1||2035363||1||8,1
1||2035363||2||3,-1
1||2035463||1||2,1
1||2035463||1||3,1
1||2035463||2||4,5
1||2035463||2||5,5
1||2035463||2||6,5
1||2035463||2||7,5
1||2035463||2||8,1
1||2035463||2||9,1
1||2035463||2||10,2
1||2035463||2||11,1
1||2035463||2||12,1
1||2035503||1||1,1
1||2035503||1||2,1
1||2035648||1||3,2
1||2035648||1||4,34.32
1||2035648||2||5,1
1||2035648||2||7,1
1||2035675||2||1,-1
1||2035699||1||1,2
1||2035753||1||1,1
1||2035753||1||2,15
1||2035768||1||1,4
1||2035768||2||1,6
1||2035774||1||2,1
1||2035775||1||1,1
1||2035790||1||1,1
1||2035802||1||1,2
1||2035802||1||2,3
1||2035804||1||1,2
1||2035808||1||1,7
1||2035808||1||2,10
1||2035808||1||3,7
1||2035808||2||1,-7
1||2035824||1||1,1
1||2035824||1||2,0.85
1||2035829||1||1,1
1||2035832||1||1,2
1||2035848||1||1,2
1||2035848||1||2,36.4
1||2035854||1||1,1
1||2035854||1||2,2
1||2035854||1||3,2
1||2035854||2||4,4
1||2035858||1||1,2
1||2035858||1||2,2
1||2035858||2||1,-2
1||2035858||2||2,-2
1||2035858||3||1,2
1||2035858||3||3,2
1||2035864||1||4,1
1||2035864||1||5,1
1||2035864||1||6,1
1||2035864||2||5,-1
1||2035893||1||1,1
1||2035893||1||2,1
1||2035893||2||3,1
1||2035893||2||4,3.42
1||2035893||2||5,1
1||2035893||2||7,1
1||2035893||2||8,1
1||2035893||2||9,1
1||2035893||2||10,1
1||2035893||2||11,1
1||2035893||3||12,1
1||2035893||3||13,1
1||2035893||3||14,1
1||2035893||4||16,2
1||2035893||4||17,2
1||2035893||4||18,2
1||2035893||4||19,2
1||2035893||4||20,2
1||2035893||5||15,1
1||2035893||7||23,1
1||2035893||8||21,1
1||2035893||8||22,1
1||2035893||9||25,1
1||2035893||11||31,1
1||2035893||12||32,1
1||2035893||13||33,4
1||2035893||14||29,1
1||2035893||14||30,1
1||2035893||15||34,2
1||2035893||16||36,1
1||2035893||16||37,1
1||2035893||16||38,1
1||2035896||1||1,1
1||2035896||1||2,1
1||2035901||1||9,1
1||2035902||1||1,2
1||2035902||1||3,1
1||2035911||1||1,2
1||2035911||1||2,2
1||2035911||1||3,1
1||2035911||2||1,-2
1||2035911||2||3,-1
1||2035926||1||2,2
1||2035929||1||1,10
1||2035947||1||1,1
1||2035947||1||2,1
1||2035947||1||3,1
1||2035957||1||2,1
1||2035963||1||1,1
1||2035963||1||2,1
1||2035964||1||2,2
1||2035966||1||1,1
1||2035966||1||2,1
1||2035966||1||3,1
1||2035966||1||4,2
1||2035995||1||1,4
1||2035995||1||2,1
1||2035995||1||3,1
1||2035995||1||4,1
1||2035995||1||6,2
1||2035995||1||7,1
1||2035995||1||8,2
1||2035995||1||9,1
1||2035995||1||10,1
1||2035995||1||11,2
1||2035995||1||12,1
1||2035995||1||13,1
1||2035996||1||1,1
1||2035996||1||2,1
1||2036001||1||1,1
1||2036001||1||2,1
1||2036001||1||3,2
1||2036001||1||4,1
1||2036001||1||5,2
1||2036001||1||6,2
1||2036001||1||7,2
1||2036006||1||1,1
1||2036006||3||1,-1
1||2036017||1||1,2
1||2036018||1||1,1
1||2036034||4||2,6
1||2036034||4||3,6
1||2036034||5||3,-6
1||2036041||1||1,1
1||2036041||1||2,1
1||2036041||1||3,1
1||2036041||1||4,1
1||2036041||1||5,1
1||2036041||1||6,1
1||2036041||1||7,1
1||2036042||1||1,1
1||2036042||1||2,1
1||2036042||1||3,5
1||2036042||1||4,1
1||2036045||1||1,3
1||2036045||1||2,2
1||2036055||1||1,1
1||2036055||1||2,3
1||2036055||1||3,2
1||2036068||1||1,2
1||2036068||2||2,1
1||2036076||1||1,2
1||2036085||1||6,5
1||2036085||1||7,5
1||2036085||1||8,5
1||2036085||1||9,5
1||2036085||1||10,5
1||2036085||1||11,5
1||2036088||1||2,2
1||2036091||1||1,4
1||2036091||1||2,68.96
1||2036094||1||1,1
1||2036094||2||1,-1
1||2036100||1||1,1
1||2036108||1||1,1
1||2036109||1||1,1
1||2036116||1||1,2
1||2036121||1||1,5
1||2036132||1||1,1
1||2036132||1||2,1
1||2036135||1||1,1
1||2036135||1||2,1
1||2036135||1||3,1
1||2036135||1||4,1
1||2036135||1||5,2
1||2036143||1||1,1
1||2036153||1||1,1
1||2036161||1||1,1
1||2036161||1||2,1
1||2036163||1||1,2
1||2036174||1||1,1
1||2036176||1||1,2
1||2036176||1||2,1
1||2036176||1||3,3
1||2036176||1||4,0.85
1||2036187||1||1,2
1||2036189||1||1,1
1||2036189||1||2,1
1||2036202||1||1,1
1||2036202||1||3,1
1||2036202||1||4,1
1||2036202||1||5,1
1||2036210||1||1,1
1||2036210||1||2,176.71
1||2036220||1||1,1
1||2036220||1||2,1
1||2036220||1||3,1
1||2036220||1||4,1
1||2036220||1||5,1
1||2036220||1||6,1
1||2036225||1||1,1
1||2036225||1||2,1
1||2036225||1||3,1
1||2036225||1||4,1
1||2036225||1||5,1
1||2036227||1||1,1
1||2036227||1||2,1
1||2036228||1||1,2
1||2036246||1||1,1
1||2036246||1||2,1
1||2036246||1||3,1
1||2036248||1||1,2
1||2036256||1||1,2
1||2036261||1||1,2
1||2036270||1||1,2
1||2036270||2||1,2
1||2036274||1||1,5
1||2036274||1||2,4
1||2036310||1||1,1
1||2036310||1||2,2
1||2036332||1||1,1
1||2036332||1||3,2
1||2036332||2||1,1
1||2036332||2||2,1
1||2036332||3||2,1
1||2036334||1||1,30
1||2036334||1||3,20
1||2036334||1||4,3
1||2036339||1||4,1
1||2036339||1||7,2
1||2036344||1||1,2
1||2036352||1||1,1
1||2036358||1||1,2
1||2036358||1||2,2
1||2036367||1||1,2
1||2036367||1||2,1
1||2036381||1||1,6
1||2036390||1||2,1
1||2036394||1||1,1
1||2036394||1||2,2
1||2036394||2||2,-2
1||2036395||1||1,4
1||2036395||1||2,1
1||2036396||1||1,4
1||2036396||1||2,1
1||2036396||1||3,5
1||2036396||1||4,4
1||2036396||1||5,1
1||2036396||1||6,4
1||2036396||1||7,2
1||2036396||1||8,1
1||2036396||2||6,-2
1||2036407||1||1,20
1||2036410||1||7,1
1||2036410||2||8,1
1||2036410||3||1,1
1||2036410||4||4,2
1||2036410||4||8,1
1||2036410||4||9,1
1||2036410||5||1,2
1||2036410||5||2,3
1||2036410||5||5,1
1||2036410||6||7,2
1||2036410||7||4,2
1||2036410||8||10,2
1||2036410||8||11,2
1||2036415||1||1,1
1||2036420||1||1,2
1||2036431||1||1,1
1||2036432||1||1,1
1||2036434||1||1,1
1||2036434||1||2,4
1||2036445||1||1,2
1||2036445||1||2,2
1||2036445||1||3,1
1||2036445||1||4,2
1||2036445||1||5,1
1||2036445||1||6,2
1||2036445||1||7,1
1||2036445||1||8,1
1||2036445||1||9,1
1||2036445||1||10,2
1||2036445||1||11,8
1||2036448||1||1,1
1||2036448||2||3,1
1||2036448||2||4,1
1||2036448||2||5,1
1||2036448||2||6,17
1||2036449||1||1,2
1||2036449||1||2,1
1||2036450||1||1,2
1||2036477||1||1,2
1||2036486||1||1,5
1||2036495||1||1,10
1||2036495||1||2,10
1||2036500||2||3,1
1||2036506||1||1,4
1||2036508||1||2,4
1||2036508||1||3,4
1||2036508||2||1,2
1||2036514||1||1,1
1||2036521||1||3,6
1||2036521||1||4,2
1||2036521||1||6,2
1||2036521||1||7,1
1||2036521||1||8,1
1||2036521||1||9,1
1||2036521||1||10,4
1||2036526||1||1,1
1||2036529||1||7,2
1||2036529||1||8,4
1||2036531||1||1,1
1||2036535||1||1,1
1||2036538||1||1,1
1||2036539||1||1,1
1||2036543||1||1,1
1||2036551||1||1,1
1||2036555||1||1,2
1||2036555||1||2,2
1||2036555||1||3,2
1||2036559||1||1,20
1||2036562||1||1,1
1||2036562||1||2,1
1||2036564||1||1,1
1||2036564||1||2,1
1||2036564||2||1,3
1||2036564||2||2,3
1||2036569||1||1,1
1||2036569||1||2,1
1||2036569||1||3,1
1||2036573||1||1,1
1||2036577||1||1,1
1||2036577||1||2,1
1||2036577||1||3,2
1||2036577||1||5,1
1||2036577||1||6,1
1||2036581||1||1,2
1||2036581||1||2,4
1||2036582||1||1,1
1||2036587||1||1,1
1||2036593||1||2,1
1||2036593||1||3,1
1||2036593||1||5,2
1||2036593||2||1,1
1||2036593||3||2,1
1||2036593||4||4,1
1||2036623||1||1,5
1||2036631||1||1,4
1||2036631||1||2,3
1||2036631||1||3,20
1||2036631||1||4,20
1||2036631||1||5,40
1||2036639||1||1,1
1||2036639||1||2,1
1||2036640||1||1,1
1||2036640||1||2,1
1||2036640||1||3,2
1||2036640||1||4,2
1||2036646||1||1,2
1||2036646||1||2,2
1||2036649||1||1,2
1||2036649||2||2,2
1||2036649||3||1,-2
1||2036655||1||1,1
1||2036655||1||2,1
1||2036655||2||2,-1
1||2036662||1||1,2
1||2036667||1||1,1
1||2036667||1||2,1
1||2036667||2||4,1
1||2036667||2||5,1
1||2036667||2||6,4
1||2036674||1||5,2
1||2036674||1||6,3
1||2036674||2||1,1
1||2036674||2||2,187.2
1||2036675||1||1,1
1||2036684||1||1,3
1||2036685||1||1,6
1||2036685||1||3,1
1||2036695||1||1,2
1||2036698||1||1,1
1||2036707||1||1,3
1||2036707||2||2,1
1||2036707||2||3,2
1||2036707||2||5,3
1||2036707||3||11,2
1||2036707||3||12,1
1||2036707||3||13,1
1||2036707||3||14,6
1||2036707||3||17,1
1||2036707||3||18,2
1||2036707||3||19,2
1||2036707||4||8,2
1||2036707||6||9,2
1||2036728||1||1,1
1||2036728||1||4,2
1||2036728||1||8,2
1||2036728||2||2,1
1||2036728||3||6,1
1||2036728||4||5,1
1||2036748||1||1,5
1||2036748||1||2,5
1||2036748||1||3,5
1||2036748||2||1,-5
1||2036748||2||2,-5
1||2036748||2||3,-5
1||2036754||1||1,4
1||2036754||1||2,1
1||2036761||1||4,10
1||2036761||2||1,10
1||2036763||1||2,1
1||2036763||1||3,4
1||2036763||1||5,1
1||2036767||1||1,6
1||2036767||1||2,6
1||2036767||1||3,6
1||2036767||1||4,2
1||2036767||1||5,2
1||2036775||1||1,1
1||2036778||1||1,4
1||2036778||1||2,1
1||2036778||2||2,3
1||2036782||1||1,16
1||2036783||1||1,1
1||2036783||1||2,1
1||2036783||1||4,1
1||2036803||1||1,7
1||2036809||1||1,2
1||2036814||1||3,2
1||2036822||1||2,1
1||2036831||1||1,1
1||2036832||1||1,1
1||2036838||1||1,1
1||2036844||1||1,1
1||2036844||1||2,1
1||2036844||2||2,-1
1||2036845||1||2,2
1||2036855||1||1,3
1||2036856||1||1,1
1||2036866||1||1,1
1||2036866||2||2,2
1||2036868||1||1,2
1||2036875||1||2,2
1||2036893||1||1,1
1||2036893||2||1,2
1||2036893||2||2,6
1||2036893||2||3,5
1||2036905||1||2,1
1||2036908||1||1,6
1||2036908||1||4,8
1||2036908||2||4,4
1||2036912||1||1,1
1||2036921||1||1,1
1||2036921||1||3,2
1||2036921||2||2,1
1||2036931||1||1,4
1||2036949||1||1,1
1||2036953||1||1,1
1||2036981||1||1,1
1||2036981||1||3,1
1||2036987||1||1,1
1||2036987||1||2,4
1||2037018||1||1,2
1||2037036||1||1,1
1||2037040||1||1,1
1||2037040||1||2,1
1||2037040||2||5,8
1||2037040||2||6,1
1||2037040||2||7,1
1||2037040||2||8,1
1||2037040||2||9,1
1||2037040||2||10,1
1||2037040||2||12,1
1||2037040||2||13,1
1||2037040||2||14,1
1||2037040||2||15,1
1||2037041||1||1,18
1||2037041||1||2,2
1||2037041||1||3,-2
1||2037047||1||1,1
1||2037047||1||2,1
1||2037047||1||3,1
1||2037047||1||4,1
1||2037049||1||1,20
1||2037049||2||1,-20
1||2037062||1||1,2
1||2037062||1||2,36
1||2037084||1||2,1
1||2037084||1||3,1
1||2037084||1||4,1
1||2037084||1||5,1
1||2037084||1||6,1
1||2037094||1||3,2
1||2037113||1||1,1
1||2037115||1||2,2
1||2037116||1||1,4
1||2037124||1||1,6
1||2037131||1||1,1
1||2037131||1||2,1
1||2037131||1||3,1
1||2037131||1||4,1
1||2037131||1||5,1
1||2037131||1||6,1
1||2037131||1||7,1
1||2037131||1||8,1
1||2037131||1||9,1
1||2037131||2||5,2
1||2037131||2||6,2
1||2037131||2||10,3
1||2037131||2||11,10
1||2037131||2||12,1
1||2037131||2||13,-1
1||2037133||1||1,1
1||2037134||1||1,1
1||2037134||1||2,1
1||2037134||1||3,10
1||2037157||1||1,1
1||2037157||1||3,1
1||2037157||1||4,2
1||2037157||1||5,1
1||2037157||1||6,1
1||2037157||2||7,2
1||2037157||2||8,1
1||2037157||3||1,-1
1||2037157||3||3,-1
1||2037158||1||1,1
1||2037158||1||2,1
1||2037158||1||3,1
1||2037179||1||1,1
1||2037181||1||1,1
1||2037181||1||2,2
1||2037210||1||1,2
1||2037210||1||2,2
1||2037212||1||3,1
1||2037212||1||4,1
1||2037216||1||1,1
1||2037221||1||1,10
1||2037221||1||2,10
1||2037224||1||1,2
1||2037234||1||1,20
1||2037248||1||1,1
1||2037248||1||2,1
1||2037256||1||1,4
1||2037256||1||2,2
1||2037256||2||2,1
1||2037256||3||2,1
1||2037260||1||1,1
1||2037260||1||2,1
1||2037260||1||3,1
1||2037260||1||4,1
1||2037279||1||1,1
1||2037294||1||1,1
1||2037301||1||1,8
1||2037301||1||2,2
1||2037308||1||2,1
1||2037308||2||2,-1
1||2037311||1||1,1
1||2037311||1||2,2
1||2037313||1||1,1
1||2037313||1||2,5
1||2037313||1||3,6
1||2037313||1||4,2
1||2037319||1||1,2
1||2037324||1||1,1
1||2037328||1||1,1
1||2037328||1||4,2
1||2037328||1||5,1
1||2037328||1||6,1
1||2037329||1||1,10
1||2037329||1||2,1
1||2037345||1||3,6
1||2037346||1||1,1
1||2037346||1||4,1
1||2037346||1||5,8
1||2037346||2||6,1
1||2037348||1||1,5
1||2037353||1||1,1
1||2037354||1||1,1
1||2037354||1||3,1
1||2037354||1||4,2
1||2037354||1||5,1
1||2037354||1||7,1
1||2037354||1||8,2
1||2037354||1||9,5
1||2037354||1||11,1
1||2037354||1||12,1
1||2037354||1||13,4
1||2037357||1||1,5
1||2037357||1||2,85.9
1||2037359||1||1,1
1||2037372||1||1,4
1||2037372||2||1,-4
1||2037374||1||1,2
1||2037374||1||3,1
1||2037393||1||1,4
1||2037393||1||2,1
1||2037393||1||4,1
1||2037393||1||5,1
1||2037400||1||1,1
1||2037400||1||2,2
1||2037410||1||1,1
1||2037417||1||1,20
1||2037417||1||2,17.4
1||2037430||1||1,2
1||2037430||1||2,2
1||2037430||1||3,2
1||2037430||1||4,2
1||2037437||1||1,1
1||2037445||1||1,1
1||2037445||1||2,1
1||2037445||1||3,1
1||2037453||1||1,24
1||2037453||1||2,20
1||2037453||1||3,1
1||2037453||1||4,4
1||2037453||2||5,1
1||2037453||3||6,6
1||2037460||1||1,1
1||2037471||1||1,1
1||2037479||1||3,1
1||2037479||1||4,1
1||2037479||3||1,1
1||2037479||4||2,2
1||2037481||1||1,2
1||2037481||1||2,2
1||2037481||1||3,2
1||2037481||1||4,3
1||2037481||1||5,2
1||2037481||1||6,5
1||2037481||3||6,1
1||2037481||4||7,3
1||2037481||4||8,2
1||2037481||4||9,2
1||2037481||4||10,2
1||2037481||4||11,2
1||2037481||4||12,1
1||2037481||5||4,-3
1||2037496||1||1,1
1||2037503||1||1,1
1||2037503||1||2,1
1||2037514||1||2,1
1||2037514||2||1,1
1||2037528||1||1,1
1||2037528||1||4,1
1||2037528||1||5,1
1||2037528||1||6,2
1||2037528||1||7,1
1||2037528||1||8,1
1||2037538||1||1,2
1||2037541||1||1,2
1||2037549||1||1,10
1||2037549||1||2,2
1||2037556||1||1,1
1||2037556||1||2,1
1||2037556||1||3,1
1||2037566||1||1,1
1||2037567||1||1,3
1||2037567||1||2,10
1||2037567||1||3,3
1||2037567||1||4,3
1||2037567||1||5,6
1||2037579||1||1,3
1||2037579||1||2,5
1||2037579||1||3,3
1||2037579||1||4,2
1||2037579||1||5,2
1||2037579||2||1,1
1||2037579||2||2,1
1||2037579||3||6,2
1||2037579||4||7,2
1||2037579||5||4,-2
